MTR-SN,Coeff-A,Coeff-B,Coeff-C,Calibration Date,comments,Cal. Residual,comments,,
4044,1.1019711987E-03,5.2772382767E-04,2.2903070027E-06,2006-07-06,TB106187,0.0006,,,
4044,1.0570951487E-03,5.4305824934E-04,2.0252360937E-06,2004-03-30,TB104091,-0.0023,,,
4045,1.1785460002E-03,5.0820624715E-04,2.6410158364E-06,2000-07-16,TB196,-0.0005,dummy calibration (do not use),,
4046,1.0904532247E-03,5.2989310144E-04,2.2449913132E-06,2011-07-21,TB104091,-0.0005,,,
4046,1.1427865353E-03,5.1215311966E-04,2.5499083063E-06,2010-02-01,TB110032,0.0008,,,
4046,1.0899736590E-03,5.3010336070E-04,2.2420982300E-06,2008-01-18,TB108019,0.0018,,,
4046,1.0976543349E-03,5.2754660698E-04,2.2840184898E-06,2004-11-08,TB104313,-0.0020,,,
4046,1.1307481249E-03,5.1624223403E-04,2.4790773499E-06,2003-08-11,TB103223,0.0028,,,
4048,1.0343199369E-03,5.5286689609E-04,1.8674285389E-06,2012-01-23,TB112023,0.0009,,,
4048,1.1237233625E-03,5.2225675218E-04,2.4017994766E-06,2010-02-01,TB110032,-0.0008,,,
4048,1.1156516757E-03,5.2517029995E-04,2.3459859426E-06,2006-06-30,TB106174,-0.0008,,,
4048,1.0893393022E-03,5.3404925473E-04,2.1962348118E-06,2004-11-08,TB104313,-0.0005,,,
4048,1.0893384342E-03,5.3407596927E-04,2.1954823711E-06,2004-03-30,TB104091,-0.0019,,,
4049,1.0399506310E-03,5.5140153762E-04,1.8846940845E-06,2012-01-23,TB112023,0.0009,,,
4049,1.1145800698E-03,5.2582139381E-04,2.3322032307E-06,2010-02-01,TB110032,0.0005,,,
4049,1.0874793402E-03,5.3511954560E-04,2.1695741036E-06,2004-11-08,TB104313,-0.0004,,,
4049,1.0818819458E-03,5.3699849184E-04,2.1388329341E-06,2004-05-19,TB104141,-0.0004,,,
4050,1.0786439953E-03,5.3459069237E-04,2.1730576668E-06,2004-05-19,TB104141,-0.0014,,,
4051,1.0784152176E-03,5.3649556968E-04,2.1524722175E-06,2004-05-19,TB104141,0.0009,,,
4052,1.0742491491E-03,5.3744717397E-04,2.1360110475E-06,2004-05-19,TB104141,0.0018,,,
4053,1.0762017167E-03,5.3916089888E-04,2.1165791008E-06,2013-05-29,TB113149,0.0009,,,
4053,1.0460217086E-03,5.4954145203E-04,1.9340640099E-06,2012-01-23,TB112023,0.0016,,,
4053,1.1000796165E-03,5.3099317543E-04,2.2568246470E-06,2004-05-19,TB104141,0.0012,,,
4054,1.0332409049E-03,5.5194266324E-04,1.8651429326E-06,2012-01-23,TB112023,-0.0012,,,
4054,1.1227562292E-03,5.2139123555E-04,2.3947964253E-06,2010-02-01,TB110032,-0.0015,,,
4054,1.0912201712E-03,5.3207367024E-04,2.2119988006E-06,2008-01-18,TB108019,-0.0007,,,
4054,1.1160305962E-03,5.2353935942E-04,2.3616794214E-06,2004-05-19,TB104141,-0.0016,,,
4055,1.0745170165E-03,5.3742981602E-04,2.1458890705E-06,2013-04-19,TB113019,-0.0019,,,
4055,1.0475069985E-03,5.4673865905E-04,1.9823164976E-06,2013-05-29,TB113149,0.0014,,,
4055,1.0764995086E-03,5.3692485526E-04,2.1506399133E-06,2006-07-10,TB106191,0.0007,,,
4055,1.0672500994E-03,5.4003122606E-04,2.0987666194E-06,2004-05-19,TB104141,-0.0009,,,
4057,1.1086777084E-03,5.2723408519E-04,2.3238291249E-06,2006-06-30,TB106174,0.0009,,,
4058,1.1039321704E-03,5.3300009022E-04,2.2501557884E-06,2006-07-06,TB106187,0.0019,,,
4058,1.0904362477E-03,5.3761652318E-04,2.1703624721E-06,2004-03-30,TB104091,0.0011,,,
4059,1.0885059893E-03,5.3418233292E-04,2.1917511019E-06,2006-07-10,TB106191,0.0007,,,
4059,1.0982575182E-03,5.3079170835E-04,2.2519968824E-06,2004-11-08,TB104313,0.0012,,,
4060,1.0463666786E-03,5.4688780338E-04,1.9732459077E-06,2013-05-29,TB113149,-0.0014,,,
4060,1.0356957741E-03,5.5056335268E-04,1.9080963543E-06,2012-01-23,TB112023,-0.0008,,,
4060,1.1062684877E-03,5.2649915060E-04,2.3248023240E-06,2010-02-01,TB110032,0.0015,,,
4060,1.0917241427E-03,5.3147439156E-04,2.2390132280E-06,2008-01-18,TB108019,0.0008,,,
4060,1.0701106002E-03,5.3881974365E-04,2.1137384793E-06,2004-05-19,TB104141,0.0016,,,
4061,1.0800704299E-03,5.3591646196E-04,2.1669166730E-06,2006-07-10,TB106191,0.0006,,,
4061,1.0778980812E-03,5.3660616296E-04,2.1572724851E-06,2004-05-19,TB104141,0.0007,,,
4063,1.0857680166E-03,5.3286269823E-04,2.2495790408E-06,2004-03-30,TB104091,-0.0032,,,
4064,1.0856590984E-03,5.3501713997E-04,2.1770694257E-06,2006-07-06,TB106187,0.0007,,,
4065,1.0924501796E-03,5.3237988168E-04,2.2346810172E-06,2006-07-10,TB106191,0.0004,This MTR had some dropped data - I made it up (it was only a line and a half before the actual cal comps started) and the cal worked out fine,,
4065,1.0761984964E-03,5.3789856446E-04,2.1406508587E-06,2004-05-19,TB104141,0.0009,,,
4066,1.1193210548E-03,5.2501471060E-04,2.3552588014E-06,2014-06-20,TB114171,-0.0015,,,
4066,1.1154014461E-03,5.2645206600E-04,2.3285141461E-06,2008-01-18,TB108019,0.0011,,,
4066,1.0985315738E-03,5.3223794929E-04,2.2278455368E-06,2004-05-19,TB104141,-0.0007,,,
4067,1.0691175579E-03,5.3885480047E-04,2.0897578530E-06,2013-04-17,TB113107,-0.0014,,,
4067,1.0894427785E-03,5.3202052813E-04,2.2063888368E-06,2010-02-03,TB110034,0.0013,,,
4067,1.0860736130E-03,5.3322227594E-04,2.1836691781E-06,2006-07-10,TB106191,0.0010,,,
4067,1.0766782015E-03,5.3637116251E-04,2.1316750077E-06,2004-05-19,TB104141,-0.0008,,,
4068,1.0411853928E-03,5.5073955379E-04,1.9157481929E-06,1999-01-01,,,dummy calibration (do not use),,
4069,1.0744526274E-03,5.3879446516E-04,2.1304902936E-06,2004-05-19,TB104141,0.0008,,,
4069,1.0411853928E-03,5.5073955379E-04,1.9157481929E-06,1999-01-01,,,made up calbn,,
4070,1.1251076774E-03,5.2185535567E-04,2.3971598411E-06,2010-02-03,TB110034,-0.0013,,,
4070,1.1010797617E-03,5.3017417241E-04,2.2492781309E-06,2006-07-06,TB106187,0.0006,,,
4072,1.0874581525E-03,5.3320001596E-04,2.1832404257E-06,2006-07-10,TB106191,0.0007,,,
4072,1.0726744537E-03,5.3820129469E-04,2.0988412130E-06,2004-05-19,TB104141,-0.0014,,,
4081,1.1327784388E-03,5.1596286030E-04,2.4902391207E-06,2003-08-11,TB103223,0.0016,,,
4082,1.1785460002E-03,5.0820624715E-04,2.6410158364E-06,2000-07-16,TB196,-0.0005,dummy calibration (do not use),,
4084,1.1785460002E-03,5.0820624715E-04,2.6410158364E-06,2000-07-16,TB196,-0.0005,dummy calibration (do not use),,
4086,1.1785460002E-03,5.0820624715E-04,2.6410158364E-06,2000-07-16,TB196,-0.0005,dummy calibration (do not use),,
4087,1.0617681468E-03,5.4179106334E-04,2.0582179706E-06,2006-07-10,TB106191,0.0014,,,
4087,1.0625480312E-03,5.4143041063E-04,2.0681426131E-06,2004-01-29,TB104030,0.0010,,,
4087,1.0789819341E-03,5.3596075994E-04,2.1582373925E-06,2003-08-11,TB103223,0.0010,,,
