time,15ckpitae_s37_0001m.unqcd,15ckpitae_s37_0001m.unqcd.localtime,15ckpitae_s37_0025m.unqcd
2015-08-13 07:00:00,30.555,30.623,32.008
2015-08-13 08:00:00,30.544,30.65,32.004
2015-08-13 09:00:00,30.545,30.665,32.012
2015-08-13 10:00:00,30.588,30.677,32.009
2015-08-13 11:00:00,30.587,30.662,32.018
2015-08-13 12:00:00,30.594,30.652,31.994
2015-08-13 13:00:00,30.612,30.632,31.981
2015-08-13 14:00:00,30.623,30.618,31.981
2015-08-13 15:00:00,30.65,30.639,31.977
2015-08-13 16:00:00,30.665,30.673,31.972
2015-08-13 17:00:00,30.677,30.681,31.967
2015-08-13 18:00:00,30.662,30.697,31.967
2015-08-13 19:00:00,30.652,30.696,31.952
2015-08-13 20:00:00,30.632,30.698,31.947
2015-08-13 21:00:00,30.618,30.688,31.941
2015-08-13 22:00:00,30.639,30.678,31.938
2015-08-13 23:00:00,30.673,30.656,31.934
2015-08-14 00:00:00,30.681,30.656,31.933
2015-08-14 01:00:00,30.697,30.674,31.929
2015-08-14 02:00:00,30.696,30.706,31.926
2015-08-14 03:00:00,30.698,30.71,31.919
2015-08-14 04:00:00,30.688,30.691,31.911
2015-08-14 05:00:00,30.678,30.665,31.903
2015-08-14 06:00:00,30.656,30.644,31.903
2015-08-14 07:00:00,30.656,30.607,31.9
2015-08-14 08:00:00,30.674,30.564,31.899
2015-08-14 09:00:00,30.706,30.531,31.9
2015-08-14 10:00:00,30.71,30.514,31.896
2015-08-14 11:00:00,30.691,30.517,31.927
2015-08-14 12:00:00,30.665,30.533,31.97
2015-08-14 13:00:00,30.644,30.542,31.978
2015-08-14 14:00:00,30.607,30.547,31.943
2015-08-14 15:00:00,30.564,30.55,31.935
2015-08-14 16:00:00,30.531,30.552,31.948
2015-08-14 17:00:00,30.514,30.553,31.953
2015-08-14 18:00:00,30.517,30.558,31.973
2015-08-14 19:00:00,30.533,30.569,31.972
2015-08-14 20:00:00,30.542,30.584,31.978
2015-08-14 21:00:00,30.547,30.565,31.968
2015-08-14 22:00:00,30.55,30.566,31.96
2015-08-14 23:00:00,30.552,30.57,31.951
2015-08-15 00:00:00,30.553,30.583,31.937
2015-08-15 01:00:00,30.558,30.582,31.926
2015-08-15 02:00:00,30.569,30.603,31.933
2015-08-15 03:00:00,30.584,30.625,31.971
2015-08-15 04:00:00,30.565,30.616,31.985
2015-08-15 05:00:00,30.566,30.613,31.986
2015-08-15 06:00:00,30.57,30.613,31.967
2015-08-15 07:00:00,30.583,30.624,31.971
2015-08-15 08:00:00,30.582,30.638,31.979
2015-08-15 09:00:00,30.603,30.633,31.976
2015-08-15 10:00:00,30.625,30.618,31.979
2015-08-15 11:00:00,30.616,30.592,32.028
2015-08-15 12:00:00,30.613,30.586,32.02
2015-08-15 13:00:00,30.613,30.582,32.022
2015-08-15 14:00:00,30.624,30.575,32.03
2015-08-15 15:00:00,30.638,30.577,32.02
2015-08-15 16:00:00,30.633,30.58,32.009
2015-08-15 17:00:00,30.618,30.583,32.002
2015-08-15 18:00:00,30.592,30.588,32.014
2015-08-15 19:00:00,30.586,30.595,32.013
2015-08-15 20:00:00,30.582,30.608,32.007
2015-08-15 21:00:00,30.575,30.63,32.033
2015-08-15 22:00:00,30.577,30.634,32.049
2015-08-15 23:00:00,30.58,30.635,32.045
2015-08-16 00:00:00,30.583,30.634,32.057
2015-08-16 01:00:00,30.588,30.63,32.052
2015-08-16 02:00:00,30.595,30.631,32.045
2015-08-16 03:00:00,30.608,30.633,32.057
2015-08-16 04:00:00,30.63,30.637,32.089
2015-08-16 05:00:00,30.634,30.643,32.084
2015-08-16 06:00:00,30.635,30.647,32.013
2015-08-16 07:00:00,30.634,30.653,31.997
2015-08-16 08:00:00,30.63,30.655,31.997
2015-08-16 09:00:00,30.631,30.649,32.04
2015-08-16 10:00:00,30.633,30.64,32.16
2015-08-16 11:00:00,30.637,30.646,32.169
2015-08-16 12:00:00,30.643,30.662,32.177
2015-08-16 13:00:00,30.647,30.681,32.187
2015-08-16 14:00:00,30.653,30.695,32.193
2015-08-16 15:00:00,30.655,30.718,32.19
2015-08-16 16:00:00,30.649,30.737,32.192
2015-08-16 17:00:00,30.64,30.757,32.195
2015-08-16 18:00:00,30.646,30.766,32.184
2015-08-16 19:00:00,30.662,30.777,32.184
2015-08-16 20:00:00,30.681,30.781,32.191
2015-08-16 21:00:00,30.695,30.787,32.193
2015-08-16 22:00:00,30.718,30.789,32.192
2015-08-16 23:00:00,30.737,30.79,32.197
2015-08-17 00:00:00,30.757,30.792,32.183
